id,ysws,approved_at,hours,country,github_username,code_url,demo_url,description,screenshot_url,github_stars,display_name,archived_demo,archived_repo
recK7Zuq1Nfjr6u4I,Highway,1775433600,14,US,2Mon,https://github.com/2Mon/battlebot,https://github.com/2Mon/battlebot,"This project is my vertical spinner battlebot, ""Untitled Document"". I designed this in around 18 hours. It uses a large 2400kv hub motor for the main weapon, and two smaller brushed motors for the main wheels. It uses two large forks at the front to get under other bots, pushing them up into the spinner. I hope to be able to compete with this bot at the GSCRL competition, and I'm very optimistic about its performance. I have always been interested in robotics, and I am the build lead on my highschool robotics team. I have also built a Voron 2.4, along with other smaller printers. I would love to be able to build this bot!",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/94qfZTtKV7h18GsoP3FWWQ/bBOB2Nq5Mae6H4JcNoSZt0vOc2MTbBinS8sEfvvxmdni76x-VHuStPTpJ4yMMjgpcXa_6B53nTZn7pT42aoMWCemTuLfxyehq7pFjGC9iQTi-i5B3pQzHElnlOv4Ch7lQCWoazsnqJPFsn28mQ1RT4k2agbjS4KDpvckWJOKz-3mODUwrd_wfrf0NnsaN9XI/EHEUBxLrUeje8D7yXHAwVIYUdLsYCHb8iWiuPa64MWM,2,,,http://archive.hackclub.com/504Q9
recyK9FjjfTNgHuPm,Highway,1775433600,22,France,cheyao,https://github.com/cheyao/esp-usb,https://github.com/cheyao/esp-usb,ESP USB - A ESP32 dev board that fits inside your usb port. (Aka my project used to train rf skillz),https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/QOJJzBsBcGrXHcMfvUk9eg/w1KxEeF4ESIb5ZSActSsUzYmcVJlVwj93BBkYz6k1AmCOvk822Tzc7l0d9YHL-wQRwkj8dRLffl3DMpXEk6mYePxBReqD91caxxhsotf39FeZDpTWcfJAN2nWzsXmuEfGqmBc1aSnGeOm0Ag_2PkUUMEPGFjIqZuHOSXcSM38SI/RdFFjJo-_ku2kqV8H0dLKjWSLNbEjoqEj2UomrNgk8E,18,Cyao,,http://archive.hackclub.com/7QPch
rec6l8AoggDBmKpd3,Highway,1775433600,12,United States,Kiya86,https://github.com/Kiya86/SkyTrack,https://github.com/Kiya86/SkyTrack,"My project is a fully 3D-printed drone that can achieve speeds up to 100mph! In the future, I hope to add mounting points to the frame for additions. (Turrets, carrying stuff, etc.)",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/NX-Z7KuPtMEw7xMGZR7Ehg/O_S7-mSwCnybOPDJqu4fDjOo72JlyvU2pR5IIBa7TsimRQ9UwqF-My7uppwMiKaps5KaxK0SNSNDEPo5R5GNciWAOgzi6kZC3FCzPGgZ5GsQ1po0U7SresLFJ3-JbozsE02tZltzE3x6wTAO-T_70vPhFTuE4meACVS9gWR7jeo/EipQjjJOwbg-CXiRNPW-zKR04cBLT2ohsT3z_nMY_Kc,1,,,http://archive.hackclub.com/PnGWm
recax2CJPCQB8sc0e,Highway,1775433600,10,United States,rakshitDarji007,https://github.com/rakshitDarji007/MacroPADD,https://github.com/rakshitDarji007/MacroPADD,I made a Macro Pad for my first hardware project and it was great I had a lot of fun learning!!! Looking forward to making a keyboard,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/4edbYUzrFehFky0yQkG0rA/r3Dm11SU4QiFHlihLTt6_dKftr0X9U_784IFH5bZNcpAMIVuDzN9Xvew7dSAEJENbNHRsQ4wZ3INdR3z-Ln3jqXqj7N2wF3KKs3CT-Bq2-A6axuyX-dFkQGkEnd48xjC94wKhaoxE5Jlszyu96LEdzo0jdT_RBmly_kRssmC_HfmdpaEnbSH3jUwU5ML9Qeu/4g3yOePrwCR2k1UDOEVnlaXdI7vGAfiuBZBXFoxXeTo,0,,,http://archive.hackclub.com/8z2dR
recDDSc8v4Z7TziAh,Highway,1775433600,7,United States,artemis9703,https://github.com/artemis9703/highway-hackpad,https://github.com/artemis9703/highway-hackpad,"i made a hackpad with six buttons that can pause music, skip both directions, turn the volume up and down, and open the calculator",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/4rOVmf6f0tWJeTyo8FFDfA/PhA3Iyn4jYqCuCkiWmJK8okrojUzc2Kk76wtKU8ifbqI6dbMM2hDMUq9HvHar1_OnmRze5lMuWVWTeRYOjr5-DWek8lGXB4kiT-dG6SkiZIKbzvYJHvB1cLm-78w5J3lQWP2Yl8EZPqCwNa1lmI9hDaVIRQjGX1g8fG1vez4uYK8n6DZQ-KKctbMjW_jSfBd/WRxY3hLwVfvl2dM5Suq-TKPNIvXWBX7L4gXs43qCUyk,0,,,http://archive.hackclub.com/lLPjG
recGpHfC9FxiMZPrQ,Highway,1775433600,13,Canada,kushmdesai,https://github.com/kushmdesai/Gamepad/,https://github.com/kushmdesai/Gamepad/,My project is a hackpad designed to game. It has the four necessary keys that can be used as the arrows and to add personalization I extrude some things into it. It also makes it look very good.,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/ay-TqiC07JkYQnIRDgH6jQ/pain8OJuRfSmyPprtBz441Fd1gFoeVsHRGSqekvA4FR6yUtRnfRYBAW3GwHDWOr9nzLkwKsKkT-6edlP_DwQiSYOgME8Aln4-sLuQAaIqeRmOStlMjmKebAYoGFwqMpGQQ6fjjSp0fAyCLPdwL2y1Oazt1CuGQfl2nsXZGMtSA8XPDgTNxkQVoKLf7F71VuV/wIfc0ycxLBG5eozHVOt0bmEtC21JBUJNxF_wnqvjyUY,0,,,http://archive.hackclub.com/BSWa7
recCOtDw6wSXVicWE,Highway,1775433600,12,France,cheyao,https://github.com/cheyao/stmounter,https://github.com/cheyao/stmounter,"STM32 dev board!!! + In a rpi pico format for drop in replacement Has usb support, dual clock for accurate time and adc support. Plus I tried to keep it as cheap as possible",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/tuA3sV_1Ds0AhJNwUkqfdg/uMmTLM_W9lTCvAwc--eqeOOnYrQ8JPUVJQg4iGp953hVmVCJvYZv9KoQZX9IEjoBRMCm-tG2BvCYDpQ5ddd0KMpkipcC2BOVwtnpvF2fYd2ENQdxmqunIXPhZ0hqy7BetNs3O3NOjmx8x-A7hq1DV4xINz9W4Mr30XU65g9x9OA/vJzRjnLPoc2RP_wDtQznNdmmCeXFOg4JxlpFRS17DqA,3,Cyao,,http://archive.hackclub.com/sfe4f
recOYHBX9PCymcfeG,Highway,1775433600,4,United States,pizzalover125,https://github.com/pizzalover125/macropad,https://github.com/pizzalover125/macropad,"A custom hackpad with 8 switches, an encoder, and an OLED! This is v2 because the first one was riddled with bugs and never saw the light of day.",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/ZKGz7iFru6eleX5a7J-y0g/iOkdSkqq7An_dZlHoUpCErwznQiW60tsQiYTvowENY-tCEX3oFdTTUm0s5gnkdq9weMVmv56QsJcRpxOLTwIqKjCpQdQ_oCHrm5J4UBJD7V3Fc1hrp6XXDvMEQbN6ocjEbw8D16YSz7lIYvYzQ842X13m72FIiwVK4BhZTICYaVNqBHX8gjHubMPCCYGtNAE/aNElddnEgovtz7p7jIwOrERw_oAcsMlEC2uhUo5mlA8,0,adi // pizzalover125,,http://archive.hackclub.com/ytNak
recOoGWwTZThAusJc,Highway,1775433600,7,Czech Republic,OndrejVacekSPSCL,https://github.com/OndrejVacekSPSCL/6-key-HackPad-by-Ondkos,https://github.com/OndrejVacekSPSCL/6-key-HackPad-by-Ondkos,"It's macropad based on the tutorial HackPad. It has 6 keys, 2 LEDs and it uses XIAO RB2040. It runs on KMK firmware.",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/eYMUAToEByjL64KVgffXAQ/ZCrEdYC1i32vkmiZr5EdopJQfmb2u33iTZuYY5bM8vz7n-bjIXgHyF4TNMlSPpOgJV2vi2LE4ZRFw19OWY8EWgy8IZb9nqex5UpYO0jV36dU1n2GPRrlHdFLuUgaCBM5UrLSsYsx5IUlssFmMSkZ2i4bFiBeiYCdjsaF9ov4qFA/gyhoyhKQ9w85v3i8mP541W-gac4uuUpdh4gVVGdfzQY,0,,,http://archive.hackclub.com/wqoiG
recoH3Skg85fdIDJx,Highway,1775433600,17,Spain,pegoku,https://github.com/Pegoku/LED-Controller-PCB,https://github.com/Pegoku/LED-Controller-PCB,This is a simple monochromatic LED controller for Home Assistant. It is powered by ESPHome on a XIAO ESP32-C3.,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/5cr9ht_P5qSzhs4agCoA8A/c35ZUMIhCvdI3DBQdhYv7ytKOoW7BFvFSRmuc_xneoOViLBz4l0Cs-dq968ilkl7F42mvVAJzq4_K2GaekQPEFwpE1J6YmzpgvAoTrrCPVGOdvDn9CiJuVvrJG6VkJYOg0WJ0TV--LuTMSyCYBx3p-C6_7qVWjOyAdfURquDaRE/LZWBAjRcNd9PqgwWoJx_LKAbXSzsRMLfpsjrWeHDR_M,0,,,http://archive.hackclub.com/ZQzNK
