id,ysws,approved_at,hours,country,github_username,code_url,demo_url,description,screenshot_url,github_stars,display_name,archived_demo,archived_repo
recbsXeiIhv3DTa2n,Stasis,1774224000,18,IN,,https://github.com/ANSHUMANDOCX/Spot-Welder-with-MCU,https://github.com/ANSHUMANDOCX/Spot-Welder-with-MCU,this is a spot welder for 18650 batteries made using mosfets along with a atemga328p and rotary encoder along with a display and a 12v lead acid battery,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/PF3ki0v2mAiP5zL1LzALIA/9K8qrDgbiClFwxIhfanLNHVvfgT0bZ48vLB1eVpK80_76mKBrhf6Ih2iTMMGW2ZRySvRZEAqgi77M0aamanG7h1ogvvlKM9YC5JeECbWgVfpik7fijPQXTbLND85Ohl1noPtBZzduxx7o_txKEh8IzqVQxvH4tBp4zi---FV-o8SNbGFDdGJDSFH7J7U_0v_/EZtuwHMctzHtRDScLfNKD-pYEMxB4wLAgfxYSG9wta8,0,,,http://archive.hackclub.com/MA22u
recB6Y8l6Kr7O2LH8,Stasis,1774656000,5,ID,,https://github.com/maraulsav/Cat-LED-Chaser,https://github.com/maraulsav/Cat-LED-Chaser,A Cat shaped blinky board,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/_S8DMMSApTM8Rar0UkY6Qg/gKWyZmLqIWCtdBpmV8aWjfRhVcyRfiB0NnNIo3jLVo0X5JVoyw-rndFy1k_ZQgaNPg82uKDIPXDGbHB_xnrO_rPco3JYVbECrkeoBu_TyQc4uudZqdlzGeMv-F9QNZvPpC2QJYa8ta_eldADNO1uXX145aiNbOEOQU0sUFavZv1lDSOFtYZDm-bib7-uDiU0/_dRUQBVwbQyBxwapzFeHdiWg7qzrC5CVvDvNfyb22A0,0,,,http://archive.hackclub.com/zK0yO
recCFEVeqSsjj2qTw,Stasis,1774656000,5,DE,,https://github.com/Gnoled5660/RoboticArm,https://github.com/Gnoled5660/RoboticArm,Trying to build my own robotic arm.,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/rddUdUcg85rThz-yjYNwGA/RNAqEPrEcSrk2yXUSBv17u0E_08aFF5c5y2VvtbZsF908IC_UWZUUiEQ4diYqSY_DimKtcQeucsJjR0yGXNDLP2E8Bmz9-fUsn3uQ8yAgf0ltxueTyDducc0aWkfFnP5Rfo-x8gDRswYuAN77Jm5BAj45CMcw3ShS3m8TwHzLLKeQ5gp0GrXc6rpczFTljKC/9u5kuGgZlH0WVzTg8tzir6KgJFmGjuJZm8Q9uxMBFNw,0,,,http://archive.hackclub.com/34ZNY
rec9yYp46UQjNzyTn,Stasis,1773273600,20,CA,,https://github.com/scribbledlife/boardkey,https://github.com/scribbledlife/boardkey,"its a keyboard right, but its better because I built it!",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/eTGj-ehRbXcVGMEDUcggKA/p6nKPb0HzaOgNJ4F-Fv3bWYjRwMm_dfF0aRTSUhcIfliuL1AJPKbTGZwXaze1rMbq5wUOL9oFeilWWB7VGMQlBJaWrS4H1vnpWP0Go85JyfNb71dBsSp5Tj9lhf1cdYQ03CEyJ-o-dvLDK8hUk_laQB7eFlOgsqv35w3ok-9hYuqxCAXzJVM44utJg0VGpQF/kkL6ZNbTWwNgdhNxf6HIAlK0niUYMTiluKif_yRlPxE,0,,,http://archive.hackclub.com/BJxWS
recz4dqlemcYGTEJC,Stasis,1773273600,11,DE,,https://github.com/Gnoled5660/Spotify-Display-with-some-Extras.git,https://github.com/Gnoled5660/Spotify-Display-with-some-Extras.git,I want to try and follow the guide of the starter project Spotify Display while adding some extra features.,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/TEfP0f2mfBDcBIrFNkd6qg/7PHdzNdksrkyM0flym4ztlPRCOiFAbhyCsgC4sJCb_MPnAL6GkD8rD5A_LR45-z4E5VbWK3bFyPjzVkJPgQGgCnyVX__rg_NR849LQ-3gyP7Ajw8N74ytLT2IG_dhQJRitpwhwV1us5G8YuRwIIcI4mcY3R3TR00yBRThzmYeVh43Vir_hUZy8hEUdCXEcVz/1BRIW-OFRh2MH-K-7AAABq8lW5UUmEhtJDsko_5IgZY,0,,,http://archive.hackclub.com/2OVBK
rec0IjGsMBxQc9bAS,Stasis,1772755200,3,DZ,,https://github.com/ANYplays77/ANYDECK-Macropad,https://github.com/ANYplays77/ANYDECK-Macropad,"ANYDECK is a custom 6-key mechanical macropad featuring two rotary encoders, an OLED display, and RGB lighting. Powered by the XIAO RP2040, it is designed to be a simple yet polished tool for shortcuts, volume control, and workflow automation.",https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/nEefAtgOjD-hqCGk9utLlQ/dJyWZVJi2bhTcupG7Rpq10BwHV_nQNEQ5AHF9b-LcOZs7WbtKY_H0y0ih-jGv7z9CU5QGaghwqwnMy2KJuCA3Q08vjk-wY705TadRnE74Z5LMIZwuqq8RpRT2UD0R2hfwLf1va21mZK_Qr_j2YzrF21XaPhTtR4OGMhn7aDU0ChkcCH1uQQTpPdBTG5wl85E/lBjJdAe1vMZUQpUpUp80yMnyF8ZzFEZ0iAVWtEEhm9k,2,,,http://archive.hackclub.com/uKla6
recqIxSbbtx1JT26H,Stasis,1774224000,11,RO,,https://github.com/Mateix10/ESP-View,https://github.com/Mateix10/ESP-View,A DAC (Digital to Analog Converter) that also has a 16x16 led matrix to visualise the music in real time.,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/WnJQQKYoziKKKLrJOrbdsA/Gr7MxiDO9PQYItwNuX1PacLUaEJBkAXIwqD8evLHAAUHZJAI6kP1JPKIl_82OV6GvNfkirxES2CE6bJWDv5_6Byr6I3IKbai6DFEwIuUbT9amochxiaR8-xBuU3WkeEwO2IQpZ7vKqp6MG5rcBO8anboqliUNfYYIJOqLwGw-EaArsr0Vb7SonX_FF7O2Gtl/S9X1bqG2SsbeXUwwjZi39rDycMm7XTOt7s_0cOpvMWE,0,,,http://archive.hackclub.com/rDlxd
recnHaYHjWWPO9a02,Stasis,1774224000,18,IE,,https://github.com/anadskman/SurfNAS,https://github.com/anadskman/SurfNAS,A simple home Server using a RPI,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/d2Ata3uZuwTsicSmOKSNzA/oc8N4Kgu11PkWl87kPV9ljPjw10nfwyQomumnmrtfgbogYo7MePSRzpElMDsJu6qVISCoilHjcjmyqG8lT8xOmcUJNJHGFgBerJwaVy5pWIkms0IVX1fjrwiwnCKUlbvybI_a7kiT4eE1gbnLb1M-cnBwuPw6hyUoSO60-1n3Sf-oK2ESYswKer7ckXfu5Ge/DX_tq9BbJVBUPpKp2wwXd921g6YeTVhuU6s3v9PfuMI,0,,,http://archive.hackclub.com/0cdta
rece98KwyyvnkrjmR,Stasis,1774224000,16,IN,,https://github.com/sasukeop108/Sivasankar-s-Keyboard,https://github.com/sasukeop108/Sivasankar-s-Keyboard,a custom keyboard built by myself for myself,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/aIvVEAxk-_xVgGpqphOoew/sub2uS7vft77WQphStj523xLX3JuUVxeUV3I2HoF0xusUPPnZs-mcswLFa3wBYV1z1J6_zrqpFva2eGkutYFGQf1EudoFOFgsBND9FsOVofOpEDNgNzdstdeSJAgmSA52G9o5LNq81A6Eg9gmBJwjXFHaAqPDIqhwC50Y-pOTF0uigRfUX6Jkxckj6ZdMjrk/0iwJSq--9HDg9G985R22hLMtGfQEnWb9DLi-49ztUsI,0,Zayalan,,http://archive.hackclub.com/7b7qI
rec3bKD5E5b0no2nv,Stasis,1774224000,2,GB,,https://github.com/SmartSparkCoding/desk-organiser,https://github.com/SmartSparkCoding/desk-organiser,My Personal Desk Caddy!,https://v5.airtableusercontent.com/v3/u/52/52/1776535200000/hN45KkIFOXXthlHLC2HTcw/CdvlJY6gumaVIi6fYxZK6OVn5ZE_rfUqarcNZtQo3FKed_z2FobzVImLlXq8Nugp1PXrxslpNQeN1N5EW1fOSojH4tc7sL06JbhiwdirUXZe85RSEAk7LY5Q5jIRnfTvfV1TZ1mKGjguyAEd5NvDpJ5GbuI0VDdbKRaHYp-CMIxvIyAzE0vXLZvDrVjtl5wE/Iu7Zx-BDxJIBsMDz_p1jglfaH0MYi_qJqm6y8gYLVYA,0,,,http://archive.hackclub.com/DlKIM
